design,pressures_mpa,fabric_mode,state_log_sigma,state_precision_percent,adjustment,pressure_nuisance_prior_precision_factor,pressure_nuisance_prior_sd_factor,lambda_min,lambda_max,spectral_ratio,condition_number,lambda_min_gain,worst_sd_reduction,determinant_gain,strong_direction_rotation_deg,weak_direction_rotation_deg
best_pair,5+7.5,fixed,0.01,1.0,full_pressure_nuisance,0.25,2.0,0.9173769951175019,14.2963618336993,0.06416856300846178,3.947651836964884,262.22045233235497,16.193222419653075,455.77515430417196,12.831386479481342,12.831386479481342
best_pair,5+7.5,fixed,0.01,1.0,full_pressure_nuisance,1.0,1.0,1.3820280278386816,26.770027819383248,0.051625946643133594,4.401148129806418,395.03499272884443,19.87548723248928,1285.7097678799194,20.329690735477953,20.329690735477932
best_pair,5+7.5,fixed,0.01,1.0,full_pressure_nuisance,4.0,0.5,1.6053769298601186,50.45473678047539,0.03181816083681078,5.60612095419296,458.8764128077233,21.42140081338574,2814.85632484342,24.07208274234861,24.07208274234859
best_pair,5+7.5,fixed,0.02,2.0,raw,1.0,1.0,16.72522262439177,324.4396689325499,0.05155110248823763,4.404341861111296,1850.967538802808,43.02287227513765,2531.383921797695,8.106794751979374,8.106794751979418
best_pair,5+7.5,fixed,0.02,2.0,shared_static_nuisance,1.0,1.0,1.7088229173914613,87.81027600811126,0.019460397974761096,7.16843152721763,488.4451220589962,22.100794602434462,5214.584053281374,25.80401168034379,25.804011680343763
best_pair,5+7.5,fixed,0.02,2.0,full_pressure_nuisance,0.25,2.0,0.8587302138228996,13.654805413736963,0.062888498796109,3.9876256975535496,245.45702181169142,15.667068066862141,407.49241505080255,12.041714217465422,12.041714217465454
best_pair,5+7.5,fixed,0.02,2.0,full_pressure_nuisance,1.0,1.0,1.3159844397064047,24.031691246885906,0.054760375630114405,4.273333532824224,376.1572798083463,19.394774549046613,1099.0371174756647,19.37934739851804,19.37934739851804
best_pair,5+7.5,fixed,0.02,2.0,full_pressure_nuisance,4.0,0.5,1.5320530173039872,39.90818345688394,0.038389445086098414,5.1038051142078436,437.917712491956,20.926483519501218,2124.775375722942,22.97511059354943,22.97511059354943
best_pair,5+7.5,fixed,0.05,5.0,raw,1.0,1.0,3.4712275201580027,250.39829726475816,0.013862823981137968,8.493254649165127,384.15808290893165,19.59995109455459,405.4773617507857,1.5957364229858544,1.5957364229858544
best_pair,5+7.5,fixed,0.05,5.0,shared_static_nuisance,1.0,1.0,1.2797241022484493,22.988929639066654,0.0556669719878444,4.238392776428179,365.79272724102253,19.12570854219583,1022.380060175863,18.93372868424215,18.93372868424215
best_pair,5+7.5,fixed,0.05,5.0,full_pressure_nuisance,0.25,2.0,0.6898675134963528,12.035463280248337,0.0573195644764676,4.176846922289208,197.18978391783241,14.042427992260897,288.53983322805504,9.616310718584277,9.616310718584277
best_pair,5+7.5,fixed,0.05,5.0,full_pressure_nuisance,1.0,1.0,1.0267291278307236,16.324541734407273,0.06289482084919323,3.9874252787070947,293.4773574609776,17.13118085424871,582.4707907285392,14.850975282603542,14.850975282603542
best_pair,5+7.5,fixed,0.05,5.0,full_pressure_nuisance,4.0,0.5,1.1710815649995605,19.51011102531492,0.06002434140328823,4.081655045164223,334.7386508781316,18.29586431077066,794.0066785755787,17.171220012974686,17.171220012974686
best_single,5,nuisance,0.0025,0.25,raw,1.0,1.0,53.69037259192939,5953.069868804119,0.009018938761878662,10.529852335851254,5941.872287484921,77.08354096358651,149104.09052914783,26.97469862968879,26.97469862968879
best_single,5,nuisance,0.0025,0.25,shared_static_nuisance,1.0,1.0,2.4014680709245235,467.1228673026062,0.00514097732956591,13.946882935633704,686.4288587691036,26.199787380227033,38983.89377385318,26.53302579919226,26.533025799192245
best_single,5,nuisance,0.0025,0.25,full_pressure_nuisance,0.25,2.0,0.7773652305483527,12.67255960224286,0.06134240082096519,4.037565820666245,222.19988452590914,14.90637060205834,342.34715613440153,10.587175156574814,10.587175156574814
best_single,5,nuisance,0.0025,0.25,full_pressure_nuisance,1.0,1.0,1.2658809366233952,21.862293808372435,0.0579024757291758,4.155769327903667,361.83583583080303,19.021982962635704,961.7581082140006,18.350705613337237,18.350705613337237
