replicate,block_length_samples,fabric_mode,design,pressures_mpa,static_lambda_min,combined_lambda_min,lambda_min_gain,worst_sd_reduction,spectral_ratio
16,5,shared,best_pair,5+7.5,0.003353604673509425,2.1748056690276143,648.4979241013997,25.465622397683504,0.08159819893348697
16,5,nuisance,best_single,5,0.003353604673509425,1.2128555238248575,361.65727385978636,19.017288814649326,0.05896604665771879
16,5,nuisance,best_pair,5+7.5,0.003353604673509425,1.2658941775514108,377.4726900731262,19.428656414511174,0.05756104232435555
16,5,expanded_nuisance,best_single,5,0.003353604673509425,0.008551382785797479,2.549907821081597,1.5968430796673783,0.0005096490342092469
16,5,expanded_nuisance,best_pair,5+7.5,0.003353604673509425,0.011144668528270785,3.3231908985289835,1.8229621220774126,0.0006469506482359225
17,5,shared,best_single,5,0.003232451114723256,2.1263338433449412,657.8085075006574,25.647777827731147,0.08751750118775573
17,5,shared,best_pair,5+7.5,0.003232451114723256,2.192209554996298,678.1879995063691,26.042042921137526,0.0824196824407674
17,5,nuisance,best_single,5,0.003232451114723256,1.218821574633899,377.0580068736005,19.417981534485,0.05898380155920233
17,5,nuisance,best_pair,5+7.5,0.003232451114723256,1.2709672847278823,393.1899476959902,19.829017819750685,0.057696220834760024
17,5,expanded_nuisance,best_single,5,0.003232451114723256,0.008475286118871495,2.6219379096772824,1.619239917268989,0.0005012141134104385
17,5,expanded_nuisance,best_pair,5+7.5,0.003232451114723256,0.011022485579073926,3.4099465662043302,1.8466040631939296,0.000635763982980231
18,5,shared,best_single,5,0.0029280108161271468,2.2340391969685633,762.9887105142277,27.62225027969712,0.08882919724188156
18,5,shared,best_pair,5+7.5,0.0029280108161271468,2.3075630989849145,788.0992400284597,28.07310527940327,0.08359268769094096
18,5,nuisance,best_single,5,0.0029280108161271468,1.2680893025712274,433.0890089567762,20.810790685526012,0.05911423491508918
18,5,nuisance,best_pair,5+7.5,0.0029280108161271468,1.3252787774560648,452.6208612880054,21.27488804407688,0.05784636841053112
18,5,expanded_nuisance,best_single,5,0.0029280108161271468,0.007714659130978241,2.6347782216127023,1.623199994336096,0.0004381952433017962
18,5,expanded_nuisance,best_pair,5+7.5,0.0029280108161271468,0.010137574275585148,3.4622735065555617,1.860718545765469,0.0005613279491680519
19,5,shared,best_single,5,0.003456540674670272,1.9876253847151202,575.0331246730445,23.979848303795514,0.08503045001298831
19,5,shared,best_pair,5+7.5,0.003456540674670272,2.045071625097171,591.6527006563449,24.323912116605438,0.07951269589350443
19,5,nuisance,best_single,5,0.003456540674670272,1.1525144286325752,333.4300206788443,18.260066283528225,0.05849089554782482
19,5,nuisance,best_pair,5+7.5,0.003456540674670272,1.2023289558967871,347.8416917548584,18.650514517161675,0.05697868371384233
19,5,expanded_nuisance,best_single,5,0.003456540674670272,0.008957106230213174,2.5913498706528646,1.6097670237189183,0.000559502466556586
19,5,expanded_nuisance,best_pair,5+7.5,0.003456540674670272,0.011657250542787878,3.372519417524254,1.8364420539522215,0.0007088155861619384
20,5,shared,best_single,5,0.00333897496385549,2.193104696969263,656.8197487880835,25.628494859981213,0.08783977052533766
20,5,shared,best_pair,5+7.5,0.00333897496385549,2.2622065808814793,677.5152869877544,26.029123822897965,0.08282883181781141
20,5,nuisance,best_single,5,0.00333897496385549,1.2581110425728677,376.79559032096967,19.411223308204193,0.05913803721597852
20,5,nuisance,best_pair,5+7.5,0.00333897496385549,1.3123972280912823,393.05392891471905,19.825587731886262,0.05789718127892583
20,5,expanded_nuisance,best_single,5,0.00333897496385549,0.008820713327773788,2.6417428771578972,1.6253439258070574,0.0005085433021990209
20,5,expanded_nuisance,best_pair,5+7.5,0.00333897496385549,0.01139553537889304,3.4128843439229324,1.8473993460870697,0.0006411367860222489
21,5,shared,best_single,5,0.003383445760000603,2.196426526204822,649.1685346847206,25.478785973525518,0.08843153641511911
21,5,shared,best_pair,5+7.5,0.003383445760000603,2.2673855606043887,670.140951396243,25.887080781661016,0.08321032839991885
21,5,nuisance,best_single,5,0.003383445760000603,1.2579558715165158,371.79726253873554,19.282045081856218,0.05939795336879908
21,5,nuisance,best_pair,5+7.5,0.003383445760000603,1.3151813161280248,388.7106250309124,19.71574561184315,0.05814679438016411
21,5,expanded_nuisance,best_single,5,0.003383445760000603,0.008866208922488461,2.620467284360096,1.618785743809259,0.0005115371985806459
21,5,expanded_nuisance,best_pair,5+7.5,0.003383445760000603,0.011575087017705599,3.4210943040811554,1.849620043165935,0.000651035988303062
22,5,shared,best_single,5,0.0032083935909850148,2.2087396629548133,688.4254067708395,26.237862084606654,0.08841978728851152
22,5,shared,best_pair,5+7.5,0.0032083935909850148,2.2794227913755125,710.4560979613797,26.65438234064672,0.08337377381581115
22,5,nuisance,best_single,5,0.0032083935909850148,1.2584697304402805,392.2429386395562,19.805124050092598,0.05905294284164587
22,5,nuisance,best_pair,5+7.5,0.0032083935909850148,1.3140878740694504,409.57813834368426,20.238036919219322,0.05785459428263647
22,5,expanded_nuisance,best_single,5,0.0032083935909850148,0.008630479571283267,2.689969084695001,1.6401125219615271,0.0004939586772703309
22,5,expanded_nuisance,best_pair,5+7.5,0.0032083935909850148,0.011270633824553844,3.5128588513024757,1.8742622151936148,0.0006294135790863026
23,5,shared,best_single,5,0.003536917105323445,2.067502214104473,584.5492423310282,24.177453181239503,0.08631399032438185
23,5,shared,best_pair,5+7.5,0.003536917105323445,2.1294928710927636,602.0759909491928,24.537236823839656,0.08100731280266284
23,5,nuisance,best_single,5,0.003536917105323445,1.1986252368540444,338.8898300867677,18.408960592243325,0.0590032075141796
23,5,nuisance,best_pair,5+7.5,0.003536917105323445,1.2502174798714427,353.47661328837177,18.800973732452576,0.05758570950318731
23,5,expanded_nuisance,best_single,5,0.003536917105323445,0.009336052081529989,2.63960160883562,1.6246850798956762,0.0005653594881783927
