block_length_samples,block_length_m,replicate,best_pressure_1_mpa,best_pressure_2_mpa,best_lambda_min,full_sample_design_lambda_min,full_sample_design_selected,full_sample_design_regret_fraction
3,12,89,5.0,7.5,0.01155295910859433,0.01155295910859433,True,0.0
3,12,90,5.0,7.5,0.011413728354784602,0.011413728354784602,True,0.0
3,12,91,5.0,7.5,0.011577534157585223,0.011577534157585223,True,0.0
3,12,92,5.0,7.5,0.010767727848253195,0.010767727848253195,True,0.0
3,12,93,5.0,7.5,0.01155380203418055,0.01155380203418055,True,0.0
3,12,94,5.0,7.5,0.011681680806807648,0.011681680806807648,True,0.0
3,12,95,5.0,7.5,0.011369028260455494,0.011369028260455494,True,0.0
3,12,96,5.0,7.5,0.010871656358908854,0.010871656358908854,True,0.0
3,12,97,5.0,7.5,0.01176788056954603,0.01176788056954603,True,0.0
3,12,98,5.0,7.5,0.011343461707955527,0.011343461707955527,True,0.0
3,12,99,5.0,7.5,0.011243165990975523,0.011243165990975523,True,0.0
5,20,0,5.0,7.5,0.011930402229610504,0.011930402229610504,True,0.0
5,20,1,5.0,7.5,0.011479326523990974,0.011479326523990974,True,0.0
5,20,2,5.0,7.5,0.012171105064677779,0.012171105064677779,True,0.0
5,20,3,5.0,7.5,0.010990410666786854,0.010990410666786854,True,0.0
5,20,4,5.0,7.5,0.010772039728208949,0.010772039728208949,True,0.0
5,20,5,5.0,7.5,0.011125685440290578,0.011125685440290578,True,0.0
5,20,6,5.0,7.5,0.011571165411536466,0.011571165411536466,True,0.0
5,20,7,5.0,7.5,0.01152168228791961,0.01152168228791961,True,0.0
5,20,8,5.0,7.5,0.010891897380622684,0.010891897380622684,True,0.0
5,20,9,5.0,7.5,0.011609840277940986,0.011609840277940986,True,0.0
5,20,10,5.0,7.5,0.010332112410318839,0.010332112410318839,True,0.0
5,20,11,5.0,7.5,0.01169658209444302,0.01169658209444302,True,0.0
5,20,12,5.0,7.5,0.011970888120890866,0.011970888120890866,True,0.0
5,20,13,5.0,7.5,0.011561113696903824,0.011561113696903824,True,0.0
5,20,14,5.0,7.5,0.011843135693008655,0.011843135693008655,True,0.0
5,20,15,5.0,7.5,0.012057772954952917,0.012057772954952917,True,0.0
5,20,16,5.0,7.5,0.011172089175911726,0.011172089175911726,True,0.0
5,20,17,5.0,7.5,0.011646734578749651,0.011646734578749651,True,0.0
5,20,18,5.0,7.5,0.011663437796280984,0.011663437796280984,True,0.0
5,20,19,5.0,7.5,0.011191119012549766,0.011191119012549766,True,0.0
5,20,20,5.0,7.5,0.010888357228319379,0.010888357228319379,True,0.0
5,20,21,5.0,7.5,0.0114263083575592,0.0114263083575592,True,0.0
5,20,22,5.0,7.5,0.011736168014422788,0.011736168014422788,True,0.0
5,20,23,5.0,7.5,0.011580152755493511,0.011580152755493511,True,0.0
5,20,24,5.0,7.5,0.011388071122542254,0.011388071122542254,True,0.0
5,20,25,5.0,7.5,0.01105760877767592,0.01105760877767592,True,0.0
5,20,26,5.0,7.5,0.010551793406315735,0.010551793406315735,True,0.0
5,20,27,5.0,7.5,0.010896273278156343,0.010896273278156343,True,0.0
5,20,28,5.0,7.5,0.012056707194320726,0.012056707194320726,True,0.0
5,20,29,5.0,7.5,0.012218719884108165,0.012218719884108165,True,0.0
5,20,30,5.0,7.5,0.01063745654593884,0.01063745654593884,True,0.0
5,20,31,5.0,7.5,0.010484912638237365,0.010484912638237365,True,0.0
5,20,32,5.0,7.5,0.011013063505255438,0.011013063505255438,True,0.0
5,20,33,5.0,7.5,0.012031972232688926,0.012031972232688926,True,0.0
5,20,34,5.0,7.5,0.011252864261021234,0.011252864261021234,True,0.0
5,20,35,5.0,7.5,0.01124520828685771,0.01124520828685771,True,0.0
5,20,36,5.0,7.5,0.011403341656396115,0.011403341656396115,True,0.0
5,20,37,5.0,7.5,0.011088953421605652,0.011088953421605652,True,0.0
