profile,Vcem_fraction,Vcem_percent,lnCn_MAP,Cn_MAP,objective_MAP,nuisance_prior_norm,optimizer_success,optimizer_nfev,optimizer_optimality,active_bounds,MAP_phi_bias_sigma,MAP_vsh_bias_sigma,MAP_sw_bias_sigma,MAP_f_kf_shift_sigma,MAP_log_clay_mod_scale_sigma,MAP_brine_salinity_shift_sigma,MAP_GOR_shift_sigma,MAP_log_cement_mod_scale_sigma,MAP_phic_pack_shift_sigma,MAP_logP_calibration_sigma,MAP_log_stress_bulk_scale_sigma,MAP_log_stress_shear_scale_sigma,MAP_stiff_cement_volume_shift_sigma,MAP_ln_soft_cn_offset_sigma,MAP_ln_stiff_cn_offset_sigma,MAP_soft_phic_shift_sigma
static,0.058033333333333326,5.803333333333333,1.4371256240949983,4.208581369716352,0.1363187679403217,0.2028604278782594,True,41,0.5865120363285653,0,-0.004584113491176159,-1.3246526109013971e-10,0.012598923305271249,0.10716336565805938,-0.15334581986801993,0.040404093456310256,-0.02107890982946375,-0.005074673619279116,0.06221828753568451,,,,,,,
static,0.06,6.0,1.4362376152483112,4.204845771095831,0.15003356065656076,0.21173772956074854,True,34,0.08379136306298351,0,-0.004691531971088582,1.264259777478149e-09,0.012985562796092625,0.11036971660683229,-0.16077279428942148,0.04226428766816616,-0.021858937323178906,-0.0049907316017761515,0.06575617479564515,,,,,,,
shared_generic,0.001,0.1,2.3367819104211427,10.347882510482465,57.03174172309931,5.747142211293029,True,11,0.0002978208377481896,1,0.09567832865818411,-0.08257594037250592,0.07513231546662553,-0.4972438982925572,0.1247874586210259,0.12613085649150454,-0.1768218019439027,1.3313218102189681,-0.22463859102873254,-2.5285963739409913,-2.9122494279525237,-3.9999999999999996,0.012273744899465708,0.0,0.0,0.0
shared_generic,0.0029666666666666665,0.29666666666666663,2.054514339164581,7.803047317769221,20.93542361014111,3.988116244540002,True,10,0.00012852496865956218,0,0.06222882259590116,-0.051328733992192066,0.04243177522123209,-0.3479474348161649,0.07950392408617321,0.06170699584224837,-0.10021732669073534,0.391399684410698,-0.3010490683316957,-0.8336300043518355,-1.4988596732704313,-3.5204130326346506,0.4205622697286207,0.0,0.0,0.0
shared_generic,0.004933333333333333,0.4933333333333333,1.914254744134817,6.7818826753403885,10.375061366187834,2.797142343774492,True,10,8.261305078664487e-05,0,0.053893035737535844,-0.04518303734122747,0.028206478909728383,-0.32817545594886993,0.062680431730965,0.040645329985650035,-0.06597301612450017,0.23515278278934773,-0.34722096925040663,-0.5697028554842873,-0.8619416581532193,-2.476945046745226,0.5674596978293737,0.0,0.0,0.0
shared_generic,0.006899999999999999,0.69,1.8289733058796032,6.227489648193561,4.753374028821539,1.8974167761243463,True,9,3.403076492568165e-05,0,0.04110683913072929,-0.034797441251958834,0.01791103882099403,-0.26143727217415197,0.0448062948413329,0.025645228105514763,-0.04133645358731399,0.1334232597587002,-0.3069771604658536,-0.369922879048302,-0.46955165600786275,-1.6674787307188066,0.5238337490190933,0.0,0.0,0.0
shared_generic,0.008866666666666665,0.8866666666666665,1.7693384746110605,5.866970927135303,1.7396739487447148,1.1518823025077174,True,8,7.399510561682655e-06,0,0.026562471369765726,-0.02266548286481498,0.010145246537723819,-0.17332711728980627,0.027694425364822178,0.014434870804011124,-0.023111284919058773,0.06858329344217268,-0.2146346681835912,-0.21519449637229973,-0.22981354803685955,-1.0037161356743551,0.36961889557414473,0.0,0.0,0.0
shared_generic,0.010833333333333334,1.0833333333333335,1.7243360222931285,5.6087956777622745,0.33286346281330786,0.5052640440669572,True,7,3.8032123291428487e-06,0,0.012085413021608713,-0.01040191839444014,0.0041651118893120745,-0.08026201465341348,0.012198535197507089,0.005881491921615844,-0.009389748917315772,0.025997035758590307,-0.10207948087427345,-0.09113191073110119,-0.08237551720275836,-0.43766499187271374,0.17484030423175848,0.0,0.0,0.0
shared_generic,0.012546045825196089,1.2546045825196088,1.6930438416630622,5.436001877454284,0.0,0.0,True,0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
shared_generic,0.012799999999999999,1.2799999999999998,1.6896587708662871,5.417631735904045,0.00645652310891885,0.07045550802946765,True,5,1.0049499199500698e-07,0,-0.002166892765345111,0.009751482871190214,-0.0022893104100978412,0.010533703889400592,-0.0027188395753281495,0.00012037996206240355,0.0012713310503084342,-0.0032185725138233435,0.015077759968892924,0.012256442695273708,0.009442805463521444,0.06033828710910525,-0.024923385370385468,0.0,0.0,0.0
