train,test,adjustment,Vcem_fraction,Vcem_percent,lnCn_profile,Cn_profile,profile_objective,lnCn_train_qstar,error_train_qstar,lnCn_test_oracle_qstar,error_test_oracle_qstar,lnCn_pooled_qstar,error_pooled_qstar,lnCn_train_local_exponential,error_train_local_exponential,lnCn_constant_Cn,error_constant_Cn
19A,BT2,adjusted,0.021823529411764707,2.182352941176471,1.5554482537405812,4.73720952119121,0.008085517095920026,1.5725401347733317,0.0170918810327505,1.544437760697291,-0.01101049304329016,1.5633480437710217,0.007899790030440501,1.9637627369144393,0.4083144831738581,2.1153340630480177,0.5598858093074366
19A,BT2,adjusted,0.023558823529411764,2.3558823529411765,1.5398720026804964,4.66399325414595,0.009657755405100528,1.5569760668937265,0.017104064213230075,1.5279469598890012,-0.0119250427914952,1.5476194234851657,0.0077474208046692805,1.9500020136014369,0.4101300109209405,2.1153340630480177,0.5754620603675213
19A,BT2,adjusted,0.025294117647058825,2.5294117647058822,1.5260463876068262,4.59995438714032,0.011381057715155487,1.5430606614008389,0.017014273794012658,1.5131836864259953,-0.012862701180830882,1.5335727014939122,0.0075263138870860224,1.9362412902884343,0.4101949026816081,2.1153340630480177,0.5892876754411915
19A,BT2,adjusted,0.027029411764705885,2.7029411764705884,1.513923056300503,4.544524293706811,0.01329229486830915,1.5305796492505204,0.016656592950017313,1.4999233092148125,-0.013999747085690517,1.5209893812219926,0.0070663249214895085,1.9224805669754317,0.4085575106749286,2.1153340630480177,0.6014110067475147
19A,BT2,adjusted,0.028764705882352942,2.876470588235294,1.5025214995627556,4.493003906551673,0.015361850876304992,1.5193588651846468,0.016837365621891198,1.4879832388602747,-0.014538260702480876,1.5096918623620348,0.007170362799279184,1.9087198436624293,0.4061983440996737,2.1153340630480177,0.6128125634852621
19A,BT2,adjusted,0.0305,3.05,1.4932665671740968,4.451613288299413,0.0176653128268283,1.5092548394300105,0.015988272255913705,1.4772130647058925,-0.01605350246820425,1.4995338466798749,0.0062672795057781006,1.8949591203494267,0.4016925531753299,2.1153340630480177,0.622067495873921
19A,BT2,adjusted,0.032235294117647056,3.2235294117647055,1.484262613494967,4.411711076862161,0.02011150649156101,1.5001479964910012,0.015885382996034147,1.467487424955927,-0.01677518853903992,1.4903934024263101,0.006130788931343112,1.881198397036424,0.3969357835414571,2.1153340630480177,0.6310714495530507
19A,BT2,adjusted,0.03397058823529412,3.397058823529412,1.4764741984002372,4.377484298909071,0.022789912388423976,1.4919376394513704,0.015463441051133175,1.4587007485912808,-0.017773449808956343,1.4821678495371997,0.005693651136962519,1.8674376737234217,0.39096347532318454,2.1153340630480177,0.6388598646477806
19A,BT2,adjusted,0.03570588235294118,3.570588235294118,1.4692478564405604,4.345965121779034,0.025645675061080217,1.484538185247374,0.01529032880681358,1.4507633087099607,-0.01848454773059971,1.4747699205224651,0.0055220640819046984,1.8536769504104191,0.3844290939698587,2.1153340630480177,0.6460862066074573
19A,BT2,adjusted,0.037441176470588235,3.7441176470588236,1.4628992568988686,4.318461725997942,0.028721408272146563,1.4778762942339212,0.014977037335052623,1.4435982133772405,-0.019301043521628092,1.468124833318151,0.005225576419282341,1.8399162270974165,0.37701697019854796,2.1153340630480177,0.6524348061491492
19A,BT2,adjusted,0.0391764705882353,3.9176470588235297,1.4571354789724236,4.293642666109949,0.03200610684009967,1.4718886506484865,0.014753171676062937,1.437139078828198,-0.019996400144225657,1.4621680278971436,0.005032548924720048,1.8261555037844142,0.3690200248119906,2.1153340630480177,0.6581985840755942
19A,BT2,adjusted,0.040911764705882356,4.091176470588236,1.4518848538258151,4.271157440360623,0.03549856435100952,1.4665202245199733,0.014635370694158212,1.4313282073809925,-0.02055664644482258,1.4568433938375773,0.004958540011762214,1.8123947804714116,0.36050992664559645,2.1153340630480177,0.6634492092222026
19A,BT2,adjusted,0.04264705882352941,4.264705882352941,1.4471186668303917,4.250848741286944,0.03921067195788423,1.4617228949040089,0.014604228073617165,1.4261151441376347,-0.02100352269275696,1.4521018663570326,0.004983199526640947,1.798634057158409,0.35151539032801726,2.1153340630480177,0.668215396217626
19A,BT2,adjusted,0.04438235294117647,4.438235294117647,1.4425732567879654,4.231570737137787,0.0431434257069137,1.4574543478988355,0.014881091110870104,1.4214555217440812,-0.021117735043884256,1.4479003025566728,0.00532704576870735,1.7848733338454066,0.34230007705744114,2.1153340630480177,0.6727608062600523
