group,group_label,prior_sd_multiplier,best_pressure_1_mpa,best_pressure_2_mpa,canonical_5_7p5_is_best,second_best_lambda_min,best_minus_second_best_lambda_min,canonical_lambda_min_gain,lambda_min,lambda_max,spectral_ratio,condition_number,lambda_min_gain,worst_sd_reduction,determinant_gain,strong_direction_rotation_deg,weak_direction_rotation_deg,sd_Vcem_fraction,sd_Vcem_percentage_points,sd_lnCn,multiplicative_Cn_one_sigma,Vcem_lnCn_correlation,target_aligned_discrepancy_log_rms,raw_alignment_rms_per_scaled_parameter,aligned_1pct_lambda_min_gain,aligned_1pct_spectral_ratio,aligned_1pct_Vcem_lnCn_correlation
packing_reference,Packing reference,3.0,5.0,7.5,True,0.010700833694642586,0.0008261285255786177,3.8036970078867793,0.011526962220221204,14.222754859654339,0.0008104591785463248,35.12646348754137,3.8036970078867793,1.9503069009483558,13.493904152261674,0.13801349923668937,0.13801349923668937,0.07697776519939516,7.697776519939516,1.5554747253924528,4.737334924612308,-0.9980836548443037,0.0,0.0,1.1239658316776973,0.00024059961650644863,-0.9994289949105414
packing_reference,Packing reference,4.0,5.0,7.5,True,0.010632020430922484,0.0008361906786764628,4.20377270717147,0.011468211109598947,13.472627201694268,0.0008512230716334782,34.27506656237004,4.20377270717147,2.0503103928848114,18.801004140157232,0.3969844513796249,0.3969844513796249,0.07712226772217208,7.712226772217208,1.5599605028545158,4.758633288994692,-0.9979857407527316,0.0,0.0,1.2195294127296985,0.0002601881759831961,-0.9993775936372005
all_static,All static nuisances,0.25,5.0,7.5,True,0.0151937812116536,0.0008160166341468766,2.0459993376395555,0.016009797845800477,77.60256668466371,0.00020630500419987306,69.62177938837807,2.0459993376395555,1.4303843321427832,2.324753869351654,0.015083047418158687,0.015083047418158687,0.06523685011576309,6.523685011576309,1.319996407926872,3.743407930641677,-0.9995114317749011,0.0,0.0,1.0478901786743542,0.00010573165519638624,-0.9997496793264066
all_static,All static nuisances,0.5,5.0,7.5,True,0.013213178836589456,0.0008039053427379983,2.388536885156883,0.014017084179327455,33.55413560234473,0.0004177453517338696,48.92650424414672,2.388536885156883,1.545489205771714,3.2940494628104284,0.06169540814768878,0.06169540814768878,0.06985743357914755,6.985743357914755,1.4097114024355766,4.094773491874268,-0.9990129537879762,0.0,0.0,1.0782375489497655,0.00018948266572462943,-0.9995529312877846
all_static,All static nuisances,0.75,5.0,7.5,True,0.01181411792878162,0.0007968858619964436,2.8426326399144575,0.012611003790778064,22.009004735838733,0.0005729929154971158,41.775857571065934,2.8426326399144575,1.6860108658945403,4.896745278202915,0.13535132902254918,0.13535132902254918,0.07372877147791257,7.372877147791257,1.4856859466382268,4.417994882369816,-0.9986478398101416,0.0,0.0,1.132003900449024,0.00023156956169754388,-0.9994553374124044
all_static,All static nuisances,1.0,5.0,7.5,True,0.010930110570206875,0.0007938279082133626,3.3511375010382625,0.011723938478420237,17.487983701237702,0.0006703996686359264,38.62185282106152,3.3511375010382625,1.8306112370020737,7.125093056831419,0.21326202913719514,0.21326202913719514,0.07650184646562136,7.650184646562136,1.540668623890125,4.667710170384358,-0.9984188232644072,0.0,0.0,1.2068996463319068,0.0002483749145327763,-0.9994172629111003
all_static,All static nuisances,1.5,5.0,7.5,True,0.009946517242416242,0.0007927703360768312,4.441398319961806,0.010739287578493073,13.937291179204557,0.0007705433889848599,36.02478940304397,4.441398319961806,2.1074625310932116,13.479636333335257,0.33806364824826235,0.33806364824826235,0.07994319426665136,7.994319426665136,1.609766849116893,5.001644953941978,-0.9981829601196878,0.0,0.0,1.3971289756337326,0.0002559510202535666,-0.9994014248117864
all_static,All static nuisances,2.0,5.0,7.5,True,0.00943508076938393,0.0007934414435921688,5.543182761472023,0.010228522212976099,12.530714799384661,0.000816276036661403,35.0010825142907,5.543182761472023,2.354396474995667,22.423556937517056,0.4092499573361992,0.4092499573361992,0.08190250829394968,8.190250829394968,1.649632824332028,5.20506830183796,-0.9980748124603256,0.0,0.0,1.5970168098907622,0.0002524479407942326,-0.9994105474229977
all_static,All static nuisances,3.0,5.0,7.5,True,0.008940252605547094,0.0007939219323418456,7.539102968343478,0.00973417453788894,11.367754082006662,0.0008562970721979799,34.17336698406397,7.539102968343478,2.7457426988600875,48.075006351003545,0.43293427207246155,0.43293427207246155,0.083931322689947,8.3931322689947,1.6912725826497945,5.426381832443548,-0.9979797632194579,0.0,0.0,1.88764024182404,0.00023127575397527663,-0.9994602720678193
all_static,All static nuisances,4.0,5.0,7.5,True,0.008712949590320207,0.0007924969646095903,9.178399299795151,0.009505446554929797,10.878572672477754,0.0008737769964048779,33.829820737594616,9.178399299795151,3.029587315096753,83.88849065546829,0.3641117278347541,0.3641117278347541,0.08492429080979469,8.49242908097947,1.711617160146559,5.537909927365455,-0.9979382363058237,0.0,0.0,1.9735107603721622,0.00019924487679314628,-0.9995344175859082
