replicate,Vcem_fraction,Cn,median_mK,median_mG,endpoint_AK,endpoint_AG,endpoint_betaK_at_pooled_V,endpoint_betaG_at_pooled_V,contact_beta_raw_at_pooled_V,HS_beta_raw_at_pooled_V,total_beta_raw_at_pooled_V,contact_beta_adjusted_at_pooled_V,HS_beta_adjusted_at_pooled_V,total_beta_adjusted_at_pooled_V,A_raw_saved,Gamma_raw_saved,A_adjusted_saved,Gamma_adjusted_saved,A_raw_recomputed,Gamma_raw_recomputed,A_adjusted_recomputed,Gamma_adjusted_recomputed
190,0.0064091613343512,6.239905958854861,0.9498198384107875,0.9360294921104656,0.3113979463809476,0.3054955945888668,24.820405625776566,24.34995048203501,24.459376610426965,-3.9176732838659674,20.54170332656101,24.482520455023216,-4.2595875963736125,20.222932858649607,0.3068684598101461,1.517918004998858,0.3071588235450219,1.6503940573689049,0.3068684598233339,1.517918005005684,0.30715882356411334,1.6503940574152227
191,0.0063430129147892,6.428914013772807,0.9504525992076645,0.9367843230309744,0.3116700527300271,0.30581729196355467,24.84209424009145,24.37559181789254,24.48142720862661,-3.8856031598812186,20.595824048745392,24.51166603802224,-4.254577292758904,20.257088745263346,0.3071451076256318,1.505492308650091,0.3075244853649297,1.6484527954217698,0.30714510762727876,1.5054923086206935,0.30752448537355054,1.6484527954171204
192,0.0159930784860771,5.542293903656535,0.9371619237159734,0.9213337044977264,0.3059782790910647,0.29926390718075996,24.38842352038694,23.853245185805992,23.990947045953703,-3.803631691883408,20.1873153540703,24.002748501144925,-4.084909191782591,19.917839309362336,0.3009915210283879,1.473732139244826,0.301139582626021,1.5827142188011674,0.3009915210231726,1.4737321392319804,0.30113958261617485,1.582714218764461
193,0.0061987364753551,6.64906442016478,0.9513072957413558,0.9378003507585406,0.31203777750788,0.3062505578272286,24.87140425401746,24.41012587505371,24.513121258683324,-3.8445474978621936,20.66857376082113,24.54313855665448,-4.208354977413224,20.334783579241257,0.3075427426300294,1.4895851300595555,0.3079193410259241,1.6305437765699715,0.3075427426280795,1.489585130020343,0.3079193410295738,1.6305437763871629
194,0.0171362089520858,5.104115503137514,0.934925195624582,0.9186897998466269,0.30502524580802043,0.298149079505497,24.31246067947891,23.76438629824924,23.901927902218194,-3.8559461821530108,20.045981720065186,23.930481956032384,-4.156422530731138,19.77405942530125,0.2998746827717625,1.4940015953604229,0.3002329232394104,1.610422344753025,0.2998746827742694,1.4940015953783445,0.30023292324284123,1.6104223447407606
195,0.0055236085292244,6.922512370629751,0.9523035601150792,0.9388350714279468,0.31246667077874646,0.3066920905388416,24.905589787598498,24.445318852806608,24.557300191332402,-3.8760517665362353,20.68124842479617,24.5979867139118,-4.232230064330996,20.365756649580806,0.308097013543553,1.5017915835306983,0.308607468520302,1.6397942734025293,0.3080970135371622,1.5017915834818358,0.30860746851695287,1.6397942733409359
196,0.0101420027641303,5.604256450590718,0.9436585864621532,0.928973234191275,0.3087543107200932,0.3024959744844942,24.60969097530516,24.110861597284686,24.228052276067345,-3.8560576102767925,20.371994665790552,24.257721345455774,-4.17913067693934,20.078590668516437,0.3039662541107873,1.4940447686275884,0.3043384836149255,1.6192207057933723,0.303966254113348,1.494044768647209,0.3043384836108132,1.6192207058214623
197,0.0064572319068403,6.143112195957108,0.9495815755086318,0.9357585527520504,0.3112955153576895,0.3053801630391991,24.812241218864198,24.340749850116715,24.430204420373375,-3.9382505424744276,20.49195387789895,24.483894427236645,-4.211383855069922,20.272510572166723,0.3065024641769124,1.5258907452127837,0.3071760614633741,1.6317173271947707,0.3065024641770295,1.5258907452215151,0.3071760614657085,1.631717327216929
198,0.045976581827104,4.5556447238552975,0.9152574763914993,0.8950926045031462,0.29670465829376264,0.28828318867136826,23.64925670029786,22.97801177263455,23.165199011922766,-3.7158881315577257,19.44931088036504,23.125684137091778,-3.992656366966587,19.13302777012519,0.2906316483533702,1.439735549843265,0.2901358929229637,1.5469704970424112,0.29063164835337024,1.4397355498432647,0.2901358929229637,1.5469704970424112
199,0.0055909559254052,6.779115649281955,0.9519907465052339,0.9384837505059959,0.31233197386579675,0.3065421425285934,24.89485358315397,24.433367038479016,24.546925322646086,-3.8708502635899666,20.67607505905612,24.590977024317834,-4.192464018311441,20.398513006006397,0.3079668499655841,1.4997762406465147,0.3085195246334357,1.6243867616303558,0.3079668499743319,1.4997762406794324,0.3085195246424242,1.6243867616382555
200,0.0047923094034897,7.004240963901537,0.9539223942421523,0.9406842121187137,0.31316417954650944,0.30748189377670615,24.961185692274867,24.508271216353567,24.608461430552087,-3.8837821836221638,20.72467924692993,24.634749220553385,-4.233014862659205,20.40173435789418,0.308738884795277,1.504786764198062,0.3090686926132764,1.6400983466180237,0.3087388847943725,1.5047867641798476,0.30906869261956327,1.6400983466295915
201,0.0093186668226754,6.167515904421514,0.9455884920951133,0.9311793658619241,0.3095812367285511,0.3034323203850132,24.675602260819296,24.18549434720168,24.316241941707112,-3.838673942857586,20.477567998849533,24.33746634033663,-4.184227538812939,20.15323880152369,0.3050726856972126,1.487309397947957,0.3053389679750307,1.6211955050801812,0.30507268569722135,1.4873093980012388,0.3053389679772186,1.6211955051136198
202,0.0250195554434293,4.329814921717915,0.9266938295656834,0.9089275057866326,0.30152994142940337,0.29404923614317924,24.033862591498274,23.437602591299587,23.57234759301355,-3.855811677743774,19.71653591526978,23.58754296861075,-4.163843725818814,19.423699242791944,0.2957397531093987,1.49394948109521,0.2959303949879723,1.6132977161344475,0.29573975310939865,1.4939494810952099,0.29593039498797236,1.6132977161344477
203,0.007959236935443,6.066314337389244,0.9471978262522012,0.9330329021704082,0.31027160370806656,0.3042200559734371,24.73062891934855,24.24828190587948,24.36089650187141,-3.8769759408324997,20.483920561038907,24.39494303276592,-4.237863254716733,20.157079778049187,0.3056329238553378,1.5021496585161327,0.3060600731921293,1.6419768752921025,0.30563292385448315,1.5021496585027876,0.306060073189471,1.6419768752889583
204,0.0092080357720192,6.33319831170039,0.9475119936630825,0.9335935377042968,0.31040645915596143,0.30445850841487937,24.741377760040976,24.26728808876488,24.349445242967644,-3.7852104589966733,20.56423478397097,24.3513063765976,-4.1256642684190705,20.225642108178533,0.305489255836375,1.4665947597220856,0.3055126057041832,1.5985049343966686,0.30548925583732106,1.466594759755984,0.30551260569739525,1.5985049344037001
